Command,Redirect From,Redirect To
DELETE,/xiom-vega-china.html,/products/xiom-vega-china
DELETE,/xiom-ignito.html,/products/xiom-ignito
DELETE,/evolution-mx-s.html,/products/evolution-mx-s
DELETE,/tibhar-blade-iv-l.html,/products/tibhar-blade-iv-l
DELETE,/sponeta-s-5-73i.html,/products/sponeta-s-5-73i
DELETE,/sponeta-s-7-62i-allround-compact.html,/products/sponeta-s-7-62i-allround-compact
DELETE,/sponeta-s-7-63i-allround-compact.html,/products/sponeta-s-7-63i-allround-compact
DELETE,/729-mystery-iii-563.html,/products/729-mystery-iii-563
DELETE,/729-mystery-iii-755.html,/products/729-mystery-iii-755
DELETE,/729-mystery-iii-1385.html,/products/729-mystery-iii-755
DELETE,/729-super-fx.html,/products/729-super-fx
DELETE,/729-mystery-iii-837.html,/products/729-mystery-iii-837
DELETE,/729-mystery-iii-1386.html,/products/729-mystery-iii-837
DELETE,/729-dr-evil.html,/products/729-dr-evil
DELETE,/729-ritc-japan.html,/products/729-ritc-japan
DELETE,/729-ritc-japan-5932.html,/products/729-ritc-japan
DELETE,/729-fx-super-soft.html,/products/729-fx-super-soft
DELETE,/729-faster-transcend-sponge.html,/products/729-faster-transcend-sponge
DELETE,/729-higher-transcend-sponge.html,/products/729-higher-transcend-sponge
DELETE,/yasaka-mark-v.html,/products/yasaka-mark-v
DELETE,/yasaka-mark-v-gps.html,/products/yasaka-mark-v-gps
DELETE,/yasaka-anti-power.html,/products/yasaka-anti-power
DELETE,/yasaka-mark-v-hps.html,/products/yasaka-mark-v-hps
DELETE,/yasaka-mark-v-hps-soft.html,/products/yasaka-mark-v-hps-soft
DELETE,/yasaka-pryde-40.html,/products/yasaka-pryde-40
DELETE,/yasaka-rakza-7.html,/products/yasaka-rakza-7
DELETE,/yasaka-rakza-7-soft.html,/products/yasaka-rakza-7-soft
DELETE,/yasaka-rakza-7-soft-6021.html,/products/yasaka-rakza-7-soft
DELETE,/yasaka-rakza-9.html,/products/yasaka-rakza-9
DELETE,/yasaka-rakza-x.html,/products/yasaka-rakza-x
DELETE,/yasaka-rakza-x-soft.html,/products/yasaka-rakza-x-soft
DELETE,/dhs-c8.html,/products/dhs-c8
DELETE,/dhs-hurricane-ii.html,/products/dhs-hurricane-ii
DELETE,/dhs-hurricane-iii.html,/products/dhs-hurricane-iii
DELETE,/dhs-skyline-ii.html,/products/dhs-skyline-ii
DELETE,/dhs-skyline-ii-6073.html,/products/dhs-skyline-ii
DELETE,/dhs-skyline-iii.html,/products/dhs-skyline-iii
DELETE,/dhs-skyline-ii-neo.html,/products/dhs-skyline-ii-neo
DELETE,/dhs-skyline-iii-neo.html,/products/dhs-skyline-iii-neo
DELETE,/dhs-hurricane-ii-neo.html,/products/dhs-hurricane-ii-neo
DELETE,/dhs-hurricane-iii-neo.html,/products/dhs-hurricane-iii-neo
DELETE,/nittaku-magic-carbon.html,/products/nittaku-magic-carbon
DELETE,/nittaku-best-anti.html,/products/nittaku-best-anti
DELETE,/nittaku-blade-violin.html,/products/nittaku-blade-violin
DELETE,/nittaku-blade-violin-6141.html,/products/nittaku-blade-violin
DELETE,/stiga-table-optimum-30.html,/products/stiga-table-optimum-30
DELETE,/stiga-table-premium-compact.html,/products/stiga-table-premium-compact
DELETE,/stiga-table-premium-compact-6077.html,/products/stiga-table-premium-compact
DELETE,/stiga-table-expert-vm.html,/products/stiga-table-expert-vm
DELETE,/stiga-flow-green.html,/products/stiga-flow-green
DELETE,/stiga-flow-green-6099.html,/products/stiga-flow-green
DELETE,/yasaka-extra-3-d.html,/products/yasaka-extra-3-d
DELETE,/yasaka-extra-3-d-6266.html,/products/yasaka-extra-3-d
DELETE,/yasaka-ma-lin-carbon.html,/products/yasaka-ma-lin-carbon
DELETE,/yasaka-ma-lin-carbon-6268.html,/products/yasaka-ma-lin-carbon
DELETE,/yasaka-ma-lin-extra-off.html,/products/yasaka-ma-lin-extra-off
DELETE,/yasaka-ma-lin-extra-off-6279.html,/products/yasaka-ma-lin-extra-off
DELETE,/yasaka-sweden-classic.html,/products/yasaka-sweden-classic
DELETE,/yasaka-sweden-classic-6284.html,/products/yasaka-sweden-classic
DELETE,/yasaka-battle-balsa.html,/products/yasaka-battle-balsa
DELETE,/andro-shifter.html,/products/andro-shifter
DELETE,/tibhar-iv-s.html,/products/tibhar-iv-s
DELETE,/tibhar-iv-l-balsa.html,/products/tibhar-iv-l-balsa
